player,team,position,age,club,appearances,starts,minutes,goals,assists,take_ons,def_line_breaks,attacking_movement,pressing,output_rating,generation_rating,overall_rating
Kylian MBAPPE,France,FW,27,Real Madrid,7,7,609,8,3,60,26,254,127,100.0,83.0,91.0
Lionel MESSI,Argentina,FW,38,Inter Miami,8,7,740,8,4,61,36,124,171,94.0,76.0,85.0
VINICIUS JUNIOR,Brazil,FW,25,Real Madrid,5,5,441,4,1,53,21,139,162,58.0,89.0,74.0
Jude BELLINGHAM,England,MF,22,Real Madrid,7,7,606,6,1,28,20,313,200,64.0,68.0,66.0
Ousmane DEMBELE,France,FW,29,PSG,7,7,551,5,2,17,26,85,225,69.0,62.0,66.0
Michael OLISE,France,FW,24,Bayern Munich,7,7,561,0,5,41,26,153,214,49.0,78.0,63.0
Anthony GORDON,England,FW,25,Barcelona,6,5,399,1,3,34,18,102,136,50.0,73.0,62.0
Ismaila SARR,Senegal,FW,28,Crystal Palace,4,4,367,4,1,13,10,93,146,66.0,50.0,58.0
Ruben VARGAS,Switzerland,FW,27,Sevilla,6,3,282,2,1,20,16,68,75,48.0,68.0,58.0
Cody GAKPO,Netherlands,FW,27,Liverpool,4,4,371,3,1,15,18,69,120,53.0,60.0,56.0
Lamine YAMAL,Spain,FW,18,Barcelona,8,7,615,1,0,86,36,139,120,10.0,100.0,55.0
Charles DE KETELAERE,Belgium,FW,25,Atalanta,5,5,353,3,1,10,13,133,128,55.0,56.0,55.0
MATHEUS CUNHA,Brazil,FW,27,Manchester Utd,5,4,293,3,0,14,11,112,117,47.0,61.0,54.0
Florian WIRTZ,Germany,MF,23,Liverpool,4,4,363,0,3,25,15,109,105,41.0,65.0,53.0
Malik TILLMAN,USA,MF,24,Leverkusen,5,4,356,2,1,22,18,65,90,42.0,63.0,53.0
Martin ODEGAARD,Norway,MF,27,Arsenal,5,5,471,0,4,17,18,128,177,45.0,59.0,52.0
Brahim DIAZ,Morocco,FW,26,Real Madrid,6,6,462,0,4,33,13,118,132,46.0,58.0,52.0
BRUNO GUIMARAES,Brazil,MF,28,Newcastle,5,5,420,0,4,6,15,167,144,49.0,53.0,51.0
Julian QUINONES,Mexico,FW,29,Al-Qadsiah,5,5,414,4,1,9,7,145,150,61.0,42.0,51.0
Desire DOUE,France,FW,21,PSG,7,3,354,1,1,36,14,68,151,29.0,73.0,51.0
Lautaro MARTINEZ,Argentina,FW,28,Inter,7,4,312,3,1,6,2,143,162,59.0,42.0,51.0
Dani OLMO,Spain,FW,28,Barcelona,8,6,495,0,2,30,17,231,281,23.0,78.0,50.0
Erling HAALAND,Norway,FW,25,Manchester City,5,5,465,7,0,8,4,64,103,78.0,23.0,50.0
Bradley BARCOLA,France,FW,23,PSG,7,4,339,2,1,28,10,71,100,43.0,57.0,50.0
Ferran TORRES,Spain,FW,26,Barcelona,8,1,283,1,1,11,12,196,83,34.0,66.0,50.0
Jeremy DOKU,Belgium,FW,24,Manchester City,5,4,311,0,0,53,16,75,116,4.0,94.0,49.0
Azzedine OUNAHI,Morocco,MF,26,Girona,6,5,438,2,0,29,17,120,182,25.0,69.0,47.0
Ismael SAIBARI,Morocco,MF,25,PSV,5,5,385,3,0,11,8,219,164,39.0,55.0,47.0
Ramin REZAEIAN,IR Iran,DF,36,Foolad,3,3,270,2,1,5,12,34,72,49.0,46.0,47.0
Harry KANE,England,FW,32,Bayern Munich,7,7,654,6,1,9,11,87,240,61.0,32.0,46.0
Mikel OYARZABAL,Spain,FW,29,Real Sociedad,8,8,606,5,1,8,4,245,256,55.0,37.0,46.0
Folarin BALOGUN,USA,FW,24,Monaco,4,4,313,3,0,9,6,153,99,45.0,47.0,46.0
Julio ENCISO,Paraguay,FW,22,Strasbourg,5,5,388,1,2,33,3,55,192,39.0,50.0,45.0
Hannibal MEJBRI,Tunisia,MF,23,Burnley,3,3,270,0,2,11,11,67,108,34.0,56.0,45.0
Alexander ISAK,Sweden,FW,26,Liverpool,4,4,359,1,3,7,5,114,95,54.0,35.0,44.0
Ayase UEDA,Japan,FW,27,Feyenoord,4,4,325,2,1,4,4,147,164,44.0,44.0,44.0
Leandro TROSSARD,Belgium,FW,31,Arsenal,6,6,510,2,2,17,11,133,156,42.0,44.0,43.0
MOHAMED SALAH,Egypt,FW,33,Liverpool,5,5,428,1,2,20,9,125,141,37.0,48.0,43.0
Kerim ALAJBEGOVIC,Bosnia and Herzegovina,FW,18,RB Salzburg,4,3,278,1,0,27,13,40,90,19.0,67.0,43.0
Sadio MANE,Senegal,FW,34,Al-Nassr,4,4,364,0,1,30,14,110,113,16.0,67.0,42.0
Yan DIOMANDE,Côte d'Ivoire,FW,19,RB Leipzig,4,4,332,0,1,32,15,40,101,17.0,68.0,42.0
Raul JIMENEZ,Mexico,FW,35,Fulham,4,4,320,3,0,3,8,124,77,44.0,40.0,42.0
Jamal MUSIALA,Germany,MF,23,Bayern Munich,4,3,271,1,0,24,9,106,88,20.0,64.0,42.0
Roberto ALVARADO,Mexico,FW,27,Guadalajara,5,5,430,0,3,12,17,88,62,37.0,46.0,41.0
Jonathan DAVID,Canada,FW,26,Juventus,5,5,421,3,0,2,10,134,206,37.0,45.0,41.0
Kevin DE BRUYNE,Belgium,MF,34,Napoli,5,5,387,1,0,13,21,126,132,15.0,67.0,41.0
MOSTAFA ZICO,Egypt,MF,29,,5,5,375,2,1,4,7,119,161,40.0,41.0,41.0
Alex BAENA,Spain,MF,24,Atlético Madrid,7,7,488,1,1,14,18,202,127,23.0,57.0,40.0
BRUNO FERNANDES,Portugal,MF,31,Manchester Utd,5,5,422,0,1,8,20,126,227,14.0,66.0,40.0
Petar SUCIC,Croatia,MF,22,Inter,4,3,288,1,1,11,5,97,127,33.0,47.0,40.0
Yoane WISSA,Congo DR,FW,29,Newcastle,4,4,360,3,0,8,5,102,113,41.0,36.0,39.0
Breel EMBOLO,Switzerland,FW,29,Rennes,6,6,503,2,2,5,8,142,152,43.0,34.0,38.0
Dan NDOYE,Switzerland,FW,25,Nottingham,6,5,412,2,0,22,10,99,121,26.0,49.0,38.0
Antonio NUSA,Norway,FW,21,RB Leipzig,6,4,319,1,0,38,6,45,96,18.0,58.0,38.0
Hans VANAKEN,Belgium,MF,33,Club Brugge,6,3,318,1,2,3,2,85,137,45.0,31.0,38.0
Arda GULER,Türkiye,FW,21,Real Madrid,3,3,270,1,0,20,9,94,55,20.0,56.0,38.0
Chris WOOD,New Zealand,FW,34,Nottingham,3,3,270,0,2,2,8,90,83,34.0,42.0,38.0
